,TIL_14,TIL_1,TIL_10,TIL_11,TIL_12,TIL_13,TIL_15,TIL_16,TIL_17,TIL_18,TIL_19,TIL_2,TIL_20,TIL_21,TIL_22,TIL_23,TIL_24,TIL_26,TIL_27,TIL_28,TIL_29,TIL_3,TIL_30,TIL_31,TIL_32,TIL_34,TIL_35,TIL_36,TIL_37,TIL_38,TIL_39,TIL_4,TIL_40,TIL_41,TIL_42,TIL_43,TIL_44,TIL_5,TIL_6,TIL_7,TIL_8,TIL_9,Gene_Names
1110,-0.487241172,0.151167088,-0.79887069,0.261662882,0.084180443,-1.137051899,-1.794271361,-0.659002886,-0.773063567,-0.617068012,0.339481419,-0.538987613,0.111137077,3.037269242,0.141820531,-1.026515762,-1.303673574,0.614410973,-2.18187394,0.548869628,-0.743187569,1.769953834,0.605108744,-1.081234639,0.420918786,-0.274660462,-0.590697117,-1.160024613,0.674481791,-1.689011347,0.58714582,2.958360682,-1.513993366,0.854974187,-0.903345313,-0.967514166,-1.182173054,-0.658680176,-1.376987188,-0.587901589,0.647146653,0.575936489,EMC1
1111,-0.849314594,1.54393493,1.200282014,1.087322027,0.858725129,1.712745915,-1.337647312,0.199152397,-0.102193249,1.000779804,1.849552188,-1.024657501,-0.955875858,1.425572992,0.584946085,0.96781865,0.194834536,-0.249697975,-0.529239717,0.186874057,-1.665845467,1.794885178,0.440316233,0.498000566,0.474320778,1.320049939,0.834486646,-0.539597774,0.39499719,-0.421972129,0.930709833,0.970171829,1.10595136,0.281805956,-0.474596757,-0.006523207,0.057909865,-0.305846821,-0.876954456,0.51537376,0.958570583,0.52429068,EMC2
1112,-1.501372664,1.349539244,0.269906194,0.985939104,0.38827512,0.246448779,-1.148488969,-0.328058407,-0.45733491,1.367798951,1.331223866,-0.609794191,-1.173746375,0.504491479,0.278293783,0.206459277,-0.769804325,-0.626143866,-2.604670963,0.358768249,-1.293935705,1.682556229,0.591831891,0.623628648,-0.203406212,0.130421697,0.779079255,-0.007602394,-0.49265928,0.790229924,0.130893035,1.014312166,0.602023183,0.135222293,-1.441442225,0.427485244,-0.433252138,-0.403607948,-1.394312139,0.676476028,0.185332572,-0.898771322,EMC3
1113,1.562215885,1.323868626,1.441094481,-0.63432782,-0.372768261,1.610874317,0.162461559,0.835358088,-0.63432782,0.948501522,1.507045703,1.138262221,0.555837315,-4.30669544,0.911544113,-0.403346169,0.59792075,0.139909059,0.123069072,0.436164883,-1.035149682,0.610761689,-0.63432782,1.069881671,2.067357976,1.010169077,1.028942464,0.463136173,0.600120082,0.12845528,0.464989075,0.910782252,0.962128758,0.20321102,0.594680688,0.492525291,0.37062909,0.655139329,-0.252806897,0.888530183,-0.63432782,1.224869919,EMC4
1114,1.411920629,1.272289121,2.043943909,1.611597001,0.317378096,0.064364477,0.579596117,0.644683636,0.990319709,1.811047841,1.046503978,0.445727643,1.016282546,2.556699991,1.443694259,1.80328685,0.438645904,0.265310468,-0.114237819,1.028063333,1.605666808,1.338158046,0.462052258,0.893353753,-0.318415566,0.333685464,0.064724004,0.915177395,0.542314173,0.856936794,1.28223911,0.179761793,0.9983991,0.067953107,0.549342845,1.177246829,-1.672014678,0.118721929,-0.513964684,0.962791407,1.400498042,1.506206721,EMC7
1115,2.061324465,0.727714545,-0.06171894,1.2284605,1.535718574,0.435020149,0.128061664,-0.214909818,1.951745576,1.324972676,0.868800903,-0.626057539,1.339288486,2.633839762,0.79503008,1.221551439,-0.630032201,0.544175517,0.096631288,1.751002203,0.464392444,0.232241141,0.235131627,0.329758448,1.841971515,2.632824872,-0.06171894,0.290509513,0.47864092,0.649447953,0.618270324,1.961630999,-0.255459569,0.739855172,-0.746603099,-0.241815148,0.490572714,-0.27408476,-0.06171894,0.38020826,-0.06171894,3.800514846,EMC8
1116,1.338564653,1.512999668,0.284307835,0.640181904,0.293848802,-0.212997916,-1.684780407,0.828616539,-0.447054992,3.038349417,1.262203088,0.015086807,-0.362287735,1.522132613,-2.009608806,1.387865641,-0.187962654,-0.055082537,0.643327696,0.428270104,0.970680339,0.439240208,-0.457392978,0.360145102,-0.689027288,1.580587687,-0.355943299,0.005640975,-0.444450412,-0.82083978,0.513641995,-1.417838387,0.987343735,-0.54230188,-0.142566422,0.224343288,-0.815283906,0.346891761,-0.730267184,-0.024899423,-0.262768236,1.445559637,EMD
1117,-0.140412854,1.920580893,1.239487574,1.185334519,1.461105382,-0.760808482,-0.747815092,2.028444465,1.378331222,0.893113434,0.816234978,0.741532208,1.668356706,1.314608296,-0.591623978,-0.610333476,1.196865076,0.683992512,-1.791416604,0.671327338,0.627699298,2.077466545,1.392611658,-0.009286566,0.897801995,-0.211956399,-0.429335683,0.413433756,1.267948874,0.495348656,0.234204883,-2.138267578,1.406927742,0.816234978,-0.112670676,1.605233665,0.805292036,-0.628219362,-0.040913238,-0.035831434,0.025933264,0.660857641,EMG1
1118,-0.498432731,-0.669236016,-0.920507563,-1.418801801,-1.661603745,-0.973466009,1.779336728,-0.308030605,-0.806094131,-1.631305295,-0.802147427,-1.376047401,0.143972424,0.463374391,-0.782150402,-0.095400454,-1.359800916,-0.984129137,0.74466197,1.892221836,-0.164011037,-0.982255331,-1.231307589,0.192322478,-0.694485554,-1.213202522,0.728722906,-0.63945421,-0.641837457,-0.093983388,-0.378895611,-0.35116328,0.480191801,-0.283460322,-2.127310152,-0.675729925,-0.186338608,0.440309008,-1.03561196,-1.090023777,-1.142526654,-0.39556663,EMILIN1
1119,1.2268866,1.607208645,-0.352745439,1.84150512,-0.104733585,0.5626267,0.345301752,0.159789275,-0.086501045,0.625650257,0.371050255,0.698263473,-0.509330468,0.76605477,1.385183681,0.331255883,-0.009381503,0.026707035,-1.462826915,0.313972827,0.090055666,0.916929348,-0.381597036,0.859174684,-0.894215727,0.387344546,-1.004251635,-0.108423166,-0.278091035,0.073094974,0.266268341,0.729633032,0.752428787,2.068270734,1.020776676,0.705157733,-0.521424544,0.75111495,1.532062567,0.336416419,-0.150192357,-0.723332897,EML2
